bundler, 1.3.5, MIT
grunt, 0.4.2, MIT
grunt-cli, 0.1.11, MIT
grunt-contrib-coffee, 0.8.0, MIT
grunt-contrib-concat, 0.3.0, MIT
grunt-contrib-uglify, 0.2.7, MIT
grunt-contrib-watch, 0.5.3, MIT
grunt-replace, 0.5.1, Apache-2.0
httparty, 0.11.0, MIT
license_finder, 0.9.4, MIT
multi_json, 1.8.4, MIT
multi_xml, 0.5.5, MIT
rake, 10.1.1, MIT
sequel, 4.6.0, MIT
sqlite3, 1.3.8, MIT
thor, 0.18.1, MIT
